client,SMS Pack,Voix Pack,Data Pack,Choco1,Choco2
623398564,0,0,0,0,1
624507512,0,1,1,1,0
626224256,1,1,1,1,0
625022471,1,1,0,0,0
624464418,0,0,1,1,1
626813896,0,1,1,0,1
627877453,1,0,1,1,1
625334801,0,0,0,0,0
621030179,1,0,1,1,1
628508683,1,0,0,0,0
627771651,0,1,0,0,1
620816139,0,1,0,1,1
621366358,1,0,0,0,0
629308117,0,1,1,0,0
629723584,1,1,0,0,0
623221907,0,1,0,1,0
622635681,0,1,1,1,1
627606847,0,1,0,0,0
625402779,0,1,1,0,0
621948481,1,0,0,1,0
621685292,1,1,0,1,0
623591332,0,1,0,1,1
629419467,0,1,1,0,0
620316817,1,0,1,1,1
622614386,0,0,1,1,1
622842847,0,1,0,1,1
627627939,0,1,0,1,0
627027967,1,1,0,1,0
627692158,0,0,1,1,1
621278711,0,1,0,1,1
628992572,1,1,1,1,1
629505352,0,1,0,1,0
621284846,1,1,0,1,1
623688948,0,0,1,1,0
629969733,0,1,0,1,1
629900012,0,0,1,1,0
621340624,1,0,0,1,0
623408557,0,0,1,1,1
621957951,1,0,1,1,0
627385503,0,0,0,1,0
624960425,0,0,0,0,0
624291393,0,0,0,1,1
626115699,1,1,1,1,1
625522474,1,0,0,0,0
628377198,0,0,1,0,1
621462060,1,0,1,1,1
624335585,1,0,0,1,0
622386533,0,1,0,1,0
627785564,1,1,1,1,0
629443625,0,0,1,0,0
629934426,1,0,1,0,1
624568270,1,0,1,1,0
626297073,0,1,0,1,1
628738951,0,0,0,0,1
627792107,1,1,1,1,1
623638872,0,1,1,0,0
628502287,1,1,1,0,1
629851832,0,0,0,1,1
628886883,0,0,0,1,0
628698377,1,0,1,1,0
625790637,1,1,0,0,1
627440217,1,0,1,0,0
620567379,0,1,1,1,1
621541060,1,1,0,0,1
629087929,1,1,0,0,1
624196610,0,0,0,0,0
623758746,0,1,1,0,1
623998058,1,0,1,1,0
628609462,0,1,1,0,0
625717398,1,0,0,0,1
629974179,1,1,1,0,1
628832872,1,1,0,1,0
622120116,0,1,1,1,0
626933411,1,1,0,0,1
622538694,1,1,1,1,1
626220239,0,0,1,0,0
625853585,0,0,0,1,0
625611950,0,1,1,1,0
624934591,0,0,1,0,0
622171370,0,1,0,1,0
622894575,1,1,1,0,0
620152047,0,0,1,0,1
628989458,1,0,0,0,1
629768065,0,0,0,0,1
621955793,0,0,0,0,0
624792397,1,0,1,0,1
629455716,1,1,0,1,0
622780795,1,1,0,1,0
628212956,0,0,1,0,1
626312467,0,1,0,0,0
626914698,0,1,1,0,0
626327363,0,1,1,0,0
625628446,1,1,0,0,0
622339314,0,1,1,1,1
623261271,1,0,0,0,1
620337778,0,0,0,1,0
621928430,1,1,1,0,1
628582108,0,0,1,1,0
621491147,1,0,1,0,1
628840344,1,1,0,0,0
626023148,0,1,1,0,0
629705425,0,1,0,0,0
629776041,0,0,0,1,1
626518911,1,0,0,0,0
623773570,1,1,1,1,0
623159770,0,1,0,1,0
620766422,0,0,0,0,1
624779212,0,1,1,0,0
623032972,1,1,1,0,0
621632621,1,0,0,1,0
628092693,1,1,0,1,1
620342542,0,1,1,0,1
620087360,0,1,0,0,1
622477982,1,1,1,1,0
624876355,1,1,1,1,1
629659014,1,0,1,1,1
621031653,0,1,1,1,0
623642777,1,0,0,1,1
628519197,1,1,0,0,0
628753332,1,1,1,1,0
621368188,1,1,1,0,0
628199725,0,0,1,1,0
624917988,1,1,0,0,1
621240810,1,1,1,1,0
624987548,0,1,1,1,0
620946631,0,1,0,0,0
623042540,0,1,1,0,1
629486610,1,1,1,1,0
622975060,1,0,1,0,1
627883678,0,0,0,0,0
626420646,1,0,1,1,0
620595895,1,1,1,1,1
622370113,1,1,0,1,1
624471227,1,0,1,1,0
623646215,1,0,0,1,0
625110284,0,0,1,0,1
628237161,1,0,0,0,1
624773271,0,0,1,0,0
623420825,1,0,1,1,1
628702312,1,1,0,0,0
623023976,0,1,1,1,1
622412035,1,1,0,0,0
622496001,1,0,1,0,0
628790969,1,1,0,0,0
623605652,0,1,0,0,1
621045097,0,1,0,1,0
621283555,1,1,0,0,1
627780242,0,0,0,1,0
622747271,1,0,1,0,1
623372569,1,0,0,0,0
625316302,0,0,1,1,1
627284291,1,1,1,1,0
621456603,1,1,1,0,0
622340285,1,1,1,0,1
622159307,0,0,0,0,0
628255005,0,1,0,1,0
623710597,1,0,0,1,1
626556419,0,1,0,0,0
625776113,1,1,0,0,0
625337049,1,1,0,1,0
626421272,0,0,0,0,1
626663770,1,0,1,0,1
627993128,0,0,1,1,1
629739262,0,1,0,0,1
626894334,1,1,0,1,1
620115178,1,0,0,0,1
620084533,0,0,1,1,0
624259357,0,1,0,1,0
624027496,1,0,1,0,0
628074966,1,0,0,1,0
625965484,1,0,1,0,1
626901921,0,1,0,0,1
626874602,1,1,0,0,0
629207216,0,0,1,1,0
628505785,1,1,0,0,0
625436084,0,0,0,1,1
620137814,1,0,0,0,1
627992213,0,0,1,0,1
620773301,1,1,0,1,0
629544143,1,1,0,0,1
625978520,1,1,0,1,1
628055495,1,1,0,0,0
625118697,0,0,0,0,0
627591408,1,0,1,1,1
626527402,1,0,1,0,0
620817094,0,0,0,0,0
623131750,0,0,0,1,1
620693126,0,1,0,0,1
621095838,1,0,0,0,1
621656140,0,1,0,1,0
629442051,1,1,0,1,0
626959623,1,1,0,0,1
624634125,1,1,0,1,1
623936438,1,0,1,0,0
623084417,0,1,0,0,1
624322461,0,0,1,0,0
621662693,1,1,0,1,1
629967403,0,0,0,0,0
623610942,0,1,0,0,0
620469913,0,1,0,1,1
620346543,1,0,1,1,1
623843005,0,1,0,1,0
623700809,1,0,1,1,0
623494612,1,1,1,1,1
